Year,Cumulative dh (m)
1993.252195609728,-0.430157359403352
1993.3607369613787,-0.417639943068287
1993.4199413350063,-0.627471369527075
1993.4413206921497,-0.834008739055583
1993.461055483359,-1.02726007896529
1993.4978937602828,-1.23476370519335
1993.5975544558892,-1.32350559889507
1993.70609580754,-1.27145949939666
1993.8146371591906,-1.20887241772135
1993.9231785108411,-1.15616750683689
1994.0317198624919,-1.09950972763608
1994.1402612141426,-1.04746362813768
1994.2488025657933,-0.98882941477871
1994.361455332279,-0.962037751745768
1994.4280602526103,-1.07678073481716
1994.4818249081482,-1.28777775065128
1994.5428509548105,-1.33404658107197
1994.6336309943729,-1.29056502959228
1994.7421723460236,-1.22929557068909
1994.8507136976743,-1.1739554142604
1994.9592550493248,-1.12125050337593
1995.0677964009756,-1.0724984608078
1995.1763377526263,-1.01254662467671
1995.284879104277,-0.947324297457189
1995.3934204559275,-0.932171635577905
1995.497028109776,-1.06735973199656
1995.6006357636243,-1.13837959941338
1995.709177115275,-1.07776895189624
1995.8177184669257,-1.01781711576516
1995.9262598185765,-0.963794582108587
1996.034801170227,-0.905160368749616
1996.1433425218777,-0.851137835093037
1996.2518838735284,-0.792503621734066
1996.3604252251791,-0.774056902924503
1996.4327861262796,-0.961232537829481
1996.4739002746321,-1.19454327007464
1996.5577731372712,-1.30440006869946
1996.666314488922,-1.25564802613132
1996.7748558405726,-1.1798847167349
1996.8833971922231,-1.11136833258509
1996.9919385438739,-1.04944006229584
1997.1004798955246,-0.996076340025325
1997.2090212471753,-0.934148069736075
1997.3175625988258,-0.901866311819336
1997.401435461465,-1.02726007896529
1997.4317424622507,-1.19014335117491
1997.4705072306974,-1.37571640124
1997.5543800933365,-1.48293795432059
1997.6629214449872,-1.41837443848712
1997.771462796638,-1.35249329988153
1997.8800041482884,-1.29517670929467
1997.9885454999392,-1.24181298702415
1998.09708685159,-1.18186115089307
1998.2056282032406,-1.11663882367354
1998.3141695548911,-1.07118083803568
1998.4029761153326,-1.13941487444861
1998.4210663406077,-1.3352544019464
1998.4440902636852,-1.51642753311176
1998.4551323492428,-1.70467504368453
1998.474514733466,-1.91198886948946
1998.534212476874,-2.08337865157189
1998.6397936098433,-2.11144401661787
1998.7483349614938,-2.05676267157523
